main.py in 265 Lines: MainThread-28436, 2019-01-18 11:59:44 - root - INFO:To:正在准备人脸识别：##SC500001

connectionpool.py in 818 Lines: Dummy-8-18804, 2019-01-18 11:59:45 - requests.packages.urllib3.connectionpool - DEBUG:Starting new HTTPS connection (1): api.mybcfuture.com
connectionpool.py in 395 Lines: Dummy-8-18804, 2019-01-18 11:59:47 - requests.packages.urllib3.connectionpool - DEBUG:https://api.mybcfuture.com:443 "POST /ns/face HTTP/1.1" 200 None
main.py in 246 Lines: MainThread-28436, 2019-01-18 11:59:47 - root - INFO:To:人脸识别成功：##SC500011

main.py in 273 Lines: MainThread-11764, 2019-01-19 17:11:11 - root - INFO:To:正在准备人脸识别：##SC500001

connectionpool.py in 818 Lines: Dummy-8-20152, 2019-01-19 17:11:12 - requests.packages.urllib3.connectionpool - DEBUG:Starting new HTTPS connection (1): api.mybcfuture.com
main.py in 285 Lines: MainThread-11764, 2019-01-19 17:11:22 - root - INFO:全局错误：{'code': 2001, 'message': '人脸识别失败'}
main.py in 244 Lines: MainThread-11764, 2019-01-19 17:11:22 - root - INFO:To:人脸识别失败：##SC500021

main.py in 273 Lines: MainThread-11764, 2019-01-19 17:11:28 - root - INFO:To:正在准备人脸识别：##SC500001

connectionpool.py in 818 Lines: Dummy-9-21252, 2019-01-19 17:11:29 - requests.packages.urllib3.connectionpool - DEBUG:Starting new HTTPS connection (1): api.mybcfuture.com
connectionpool.py in 395 Lines: Dummy-9-21252, 2019-01-19 17:11:31 - requests.packages.urllib3.connectionpool - DEBUG:https://api.mybcfuture.com:443 "POST /ns/face HTTP/1.1" 200 None
main.py in 252 Lines: MainThread-11764, 2019-01-19 17:11:31 - root - INFO:To:人脸识别成功：##SC500011

main.py in 273 Lines: MainThread-23116, 2019-01-19 19:43:11 - root - INFO:To:正在准备人脸识别：##SC500001

main.py in 273 Lines: MainThread-23116, 2019-01-19 19:43:11 - root - INFO:To:正在准备人脸识别：##SC500001

main.py in 273 Lines: MainThread-23116, 2019-01-19 19:43:11 - root - INFO:To:正在准备人脸识别：##SC500001

main.py in 273 Lines: MainThread-23116, 2019-01-19 19:43:11 - root - INFO:To:正在准备人脸识别：##SC500001

main.py in 273 Lines: MainThread-23116, 2019-01-19 19:43:11 - root - INFO:To:正在准备人脸识别：##SC500001

main.py in 273 Lines: MainThread-23116, 2019-01-19 19:43:12 - root - INFO:To:正在准备人脸识别：##SC500001

main.py in 273 Lines: MainThread-23116, 2019-01-19 19:43:12 - root - INFO:To:正在准备人脸识别：##SC500001

main.py in 273 Lines: MainThread-23116, 2019-01-19 19:43:12 - root - INFO:To:正在准备人脸识别：##SC500001

main.py in 273 Lines: MainThread-23116, 2019-01-19 19:43:12 - root - INFO:To:正在准备人脸识别：##SC500001

connectionpool.py in 818 Lines: Dummy-8-22876, 2019-01-19 19:43:12 - requests.packages.urllib3.connectionpool - DEBUG:Starting new HTTPS connection (1): api.mybcfuture.com
connectionpool.py in 818 Lines: Dummy-9-424, 2019-01-19 19:43:12 - requests.packages.urllib3.connectionpool - DEBUG:Starting new HTTPS connection (1): api.mybcfuture.com
main.py in 273 Lines: MainThread-23116, 2019-01-19 19:43:12 - root - INFO:To:正在准备人脸识别：##SC500001

connectionpool.py in 818 Lines: Dummy-10-22204, 2019-01-19 19:43:12 - requests.packages.urllib3.connectionpool - DEBUG:Starting new HTTPS connection (1): api.mybcfuture.com
main.py in 273 Lines: MainThread-23116, 2019-01-19 19:43:12 - root - INFO:To:正在准备人脸识别：##SC500001

connectionpool.py in 818 Lines: Dummy-11-20852, 2019-01-19 19:43:12 - requests.packages.urllib3.connectionpool - DEBUG:Starting new HTTPS connection (1): api.mybcfuture.com
main.py in 273 Lines: MainThread-23116, 2019-01-19 19:43:12 - root - INFO:To:正在准备人脸识别：##SC500001

connectionpool.py in 818 Lines: Dummy-12-3448, 2019-01-19 19:43:13 - requests.packages.urllib3.connectionpool - DEBUG:Starting new HTTPS connection (1): api.mybcfuture.com
main.py in 273 Lines: MainThread-23116, 2019-01-19 19:43:13 - root - INFO:To:正在准备人脸识别：##SC500001

connectionpool.py in 818 Lines: Dummy-13-12172, 2019-01-19 19:43:13 - requests.packages.urllib3.connectionpool - DEBUG:Starting new HTTPS connection (1): api.mybcfuture.com
main.py in 273 Lines: MainThread-23116, 2019-01-19 19:43:13 - root - INFO:To:正在准备人脸识别：##SC500001

connectionpool.py in 818 Lines: Dummy-14-21256, 2019-01-19 19:43:13 - requests.packages.urllib3.connectionpool - DEBUG:Starting new HTTPS connection (1): api.mybcfuture.com
main.py in 273 Lines: MainThread-23116, 2019-01-19 19:43:13 - root - INFO:To:正在准备人脸识别：##SC500001

connectionpool.py in 818 Lines: Dummy-15-21604, 2019-01-19 19:43:13 - requests.packages.urllib3.connectionpool - DEBUG:Starting new HTTPS connection (1): api.mybcfuture.com
main.py in 273 Lines: MainThread-23116, 2019-01-19 19:43:13 - root - INFO:To:正在准备人脸识别：##SC500001

connectionpool.py in 818 Lines: Dummy-16-23336, 2019-01-19 19:43:13 - requests.packages.urllib3.connectionpool - DEBUG:Starting new HTTPS connection (1): api.mybcfuture.com
main.py in 273 Lines: MainThread-23116, 2019-01-19 19:43:13 - root - INFO:To:正在准备人脸识别：##SC500001

connectionpool.py in 818 Lines: Dummy-17-1868, 2019-01-19 19:43:13 - requests.packages.urllib3.connectionpool - DEBUG:Starting new HTTPS connection (1): api.mybcfuture.com
main.py in 273 Lines: MainThread-23116, 2019-01-19 19:43:13 - root - INFO:To:正在准备人脸识别：##SC500001

connectionpool.py in 818 Lines: Dummy-18-21508, 2019-01-19 19:43:13 - requests.packages.urllib3.connectionpool - DEBUG:Starting new HTTPS connection (1): api.mybcfuture.com
main.py in 273 Lines: MainThread-23116, 2019-01-19 19:43:13 - root - INFO:To:正在准备人脸识别：##SC500001

connectionpool.py in 818 Lines: Dummy-19-21448, 2019-01-19 19:43:13 - requests.packages.urllib3.connectionpool - DEBUG:Starting new HTTPS connection (1): api.mybcfuture.com
main.py in 273 Lines: MainThread-23116, 2019-01-19 19:43:13 - root - INFO:To:正在准备人脸识别：##SC500001

connectionpool.py in 818 Lines: Dummy-20-22824, 2019-01-19 19:43:14 - requests.packages.urllib3.connectionpool - DEBUG:Starting new HTTPS connection (1): api.mybcfuture.com
main.py in 273 Lines: MainThread-23116, 2019-01-19 19:43:14 - root - INFO:To:正在准备人脸识别：##SC500001

connectionpool.py in 818 Lines: Dummy-21-21476, 2019-01-19 19:43:14 - requests.packages.urllib3.connectionpool - DEBUG:Starting new HTTPS connection (1): api.mybcfuture.com
main.py in 273 Lines: MainThread-23116, 2019-01-19 19:43:14 - root - INFO:To:正在准备人脸识别：##SC500001

connectionpool.py in 818 Lines: Dummy-22-19728, 2019-01-19 19:43:14 - requests.packages.urllib3.connectionpool - DEBUG:Starting new HTTPS connection (1): api.mybcfuture.com
main.py in 273 Lines: MainThread-23116, 2019-01-19 19:43:14 - root - INFO:To:正在准备人脸识别：##SC500001

connectionpool.py in 818 Lines: Dummy-23-12348, 2019-01-19 19:43:14 - requests.packages.urllib3.connectionpool - DEBUG:Starting new HTTPS connection (1): api.mybcfuture.com
main.py in 273 Lines: MainThread-23116, 2019-01-19 19:43:14 - root - INFO:To:正在准备人脸识别：##SC500001

connectionpool.py in 818 Lines: Dummy-24-8976, 2019-01-19 19:43:14 - requests.packages.urllib3.connectionpool - DEBUG:Starting new HTTPS connection (1): api.mybcfuture.com
main.py in 273 Lines: MainThread-23116, 2019-01-19 19:43:14 - root - INFO:To:正在准备人脸识别：##SC500001

main.py in 273 Lines: MainThread-23116, 2019-01-19 19:43:14 - root - INFO:To:正在准备人脸识别：##SC500001

connectionpool.py in 818 Lines: Dummy-25-8456, 2019-01-19 19:43:14 - requests.packages.urllib3.connectionpool - DEBUG:Starting new HTTPS connection (1): api.mybcfuture.com
connectionpool.py in 818 Lines: Dummy-26-18312, 2019-01-19 19:43:14 - requests.packages.urllib3.connectionpool - DEBUG:Starting new HTTPS connection (1): api.mybcfuture.com
main.py in 273 Lines: MainThread-23116, 2019-01-19 19:43:14 - root - INFO:To:正在准备人脸识别：##SC500001

main.py in 273 Lines: MainThread-23116, 2019-01-19 19:43:15 - root - INFO:To:正在准备人脸识别：##SC500001

connectionpool.py in 818 Lines: Dummy-27-23036, 2019-01-19 19:43:15 - requests.packages.urllib3.connectionpool - DEBUG:Starting new HTTPS connection (1): api.mybcfuture.com
connectionpool.py in 818 Lines: Dummy-28-19304, 2019-01-19 19:43:15 - requests.packages.urllib3.connectionpool - DEBUG:Starting new HTTPS connection (1): api.mybcfuture.com
main.py in 273 Lines: MainThread-23116, 2019-01-19 19:43:15 - root - INFO:To:正在准备人脸识别：##SC500001

